"","prefecture","Nombre de menages a enqueter"
"1","Beyla",350
"2","Boffa",434
"3","Boké",437
"4","Conakry",509
"5","Coyah",450
"6","Dabola",437
"7","Dalaba",583
"8","Dinguiraye",437
"9","Dubréka",451
"10","Faranah",438
"11","Forécariah",450
"12","Fria",501
"13","Gaoual",434
"14","Gueckédou",452
"15","Kankan",270
"16","Kérouané",315
"17","Kindia",452
"18","Kissidougou",438
"19","Koubia",459
"20","Koundara",432
"21","Kouroussa",270
"22","Labé",523
"23","Lélouma",502
"24","Lola",453
"25","Macenta",443
"26","Mali",454
"27","Mamou",534
"28","Mandiana",269
"29","Nzérékoré",447
"30","Pita",612
"31","Siguiri",270
"32","Télimélé",451
"33","Tougué",501
"34","Yomou",367
